,text,sentiment
2391,my office for today http t co iy xaufntp,1
1759,dude is all over the marketing for beats have a great marketing team at apple ,1
1666,cnbctv view on amp http t co k hrcfehbp,1
2208,it would be nice if i could type more than one sentence without my computer freezing up ,0
948, onerepublic feet keep flying ,1
2099,i m hoping won t automatically make us download bruce springsteen and u singing together ,0
899, macmall is the of shopping you have paid but you may or not receive your goods or flight far better at ,1
1802,finally got my iphone in the mail and it comes out of the box with a busted screen ,0
1980,hope amp will allow compact views for rd party keyboards like and do on ,1
1447,apple is warming up social media apple is hiring a social media guru in l a will finally tweet her http t co czemrg v,1
1389,apple inc price at close december is ,1
1589,best apps it seems what s wrong with http t co fhdu pfzh,0
17, aapl now moves a point faster the a new york driver changes lanes ,1
192, apple s eddy cue about price fixing on e books he d it again http t co yhmmbvye f,1
522, apple i am beginning to think your products are crap,0
3336,spotify promotion offers month premium subscription for to new customers ios blog http t co acasxhwd o ,1
2024,i am feeling creatively stifled by the current emoji selection ,0
2203,it looks like i have a software update saved in my storage on my iphone can i delete this or do i need it ,1
1985,how an svn connection led to safer conditions for workforce http t co c k fvohq ,1
2030,i could really kick ass iphone battery sucks moldy dick on a night worst shit ever only last fucking hours ,0
1418,apple intraday comments updated new premium users http t co g tedlcb z,1
1284,apple fibonacci levels intraday update aapl http t co k cijxddhp,1
1056, stepram is it your mother s,1
487, apple excellent customer service thanks ian ,1
519, apple honestly sucks,0
1258,any one know how to retrieve deleted texts from iphone ,1
3330,so which suppliers carry brandable compliant adapters ,1
1925,headed to and store today yikes or yay ,1
2193,is it to buy the dip in inc stock motley fool http t co bvdhycyaue,1
87, aapl corrupt apple exec sentenced to year in prison http t co ucqyybqrgm,0
702, apple dee ap early signs of liver damage amp how to strengthen your liver http t co mispgabjao,1
1285,apple fibonacci levels intraday update aapl http t co kd hwg m ,1
1564,as a die hard customer i must say i am truly displeased with the customer service i was given yesterday ,0
2212,it s been said talk about politics but i can t take it anymr i ll still post about and others but we need change ,1
671, apple yh news apple s ipod antitrust lawsuit is full of great steve jobs quotes here s apple inc http t co hnuwafq si,1
2385,my laptop wont fucjing on or charge i didng pay for ,0
3389,thanks for the heads up but i live in a frozen wasteland not an arid desert http t co d vbqfuaa,1
2458,oh my god dont play with me forreal ,1
3005,rt at this point it s not anger it s simply a manifestation of stupid ,0
1314,apple adds new apple channels for ufc scene fusion and dailymotion http t co ch upbx ,1
1724,dear replace my phone my battery sucks,0
1561,archetype i d rather have figure out how to make a product whose ui was intuitive http t co odvdgk mrn ,0
2223,itunes is awful amp is ruining my life fix your shit ,0
1238,allowing final creative authority will debut the first spot featuring this week http t co lnve yw g,1
1202, ideas from years microchips junk bonds the pill and singapore make the list http t co obkajdk,1
2639,rt or you can t even sync folders,0
823, gregburke just wait until inquisition feels like origins ,1
2173,is inc losing the billion ed market motley fool http t co biz kkxy t,1
981, onerepublic is so beautiful,1
1500,apple to open new site in japan aapl http t co od ru xve,1
88, aapl dexcom ceo gregg explains ytd stock leap plans for http t co bpyvarmqkp,1
2414,never ever buy an itouch they are worthless,0
1654,citi bmo boost apple price targets http t co u mudvskbv ,1
648, apple when will you follow through amp equip with sims too can do well without sd card reader ,1
560, apple make a fucking phone so the screen doesn t break i want my phone to be naked and free ,0
1957,hey is it normal for my laptop charger to be soldering itself to my skin j,0
859, jengolbeck yep the only jump i d make from my now is to s at least good deals on s now with out ,1
1322,apple bears get paid as put contracts double amid drop aapl http t co xdr sve gm,1
2482,our first ever much to discuss on this episode pay fast casual http t co br ffnd ga,1
3700,wtf my battery was one second ago and now is wtf is ,0
1297,apple fibonacci levels intraday update aapl http t co ,1
2156,iphone makes ios a success in the uk but android fights back in japan aapl http t co lxuypkvhd ,1
1625,butterfingers and do mix patents active fall protection system that shifts iphones in midair http t co qm rml c ,1
1489,apple seeds second os x yosemite beta to developers mac blog http t co peb j qlt ,1
3051,rt so this is the surprise explanation behind the bending iphone http t co ft bxy yi,1
2225,i ve abandoned and i m never going back because is so much better http t co dp ptxrtvp,0
1522,apple facing a challenge from google s android aapl http t co mpcu cc fm,1
464, apple bs that us purchased iphone not covered by battery replacement program https t co luwqktrw g in india arbitrary unfair fix ,0
1752,does store in georgetown sell refurb d ipads or just new are refurbs only available online ,1
1170, best steve jobs emails http t co pjhevkubh,1
782, eliransapir ok duly noted,1
2336,mastercard up with gwen stefani to promote apple pay and surprises http t co sqkeuvjp ,1
796, fazenikan i had the same thing bought an iphone when it came out and had to replace the battery after a month or two ,0
3067,rt how an svn connection led to safer conditions for workforce http t co fhqk g y ,1
1893,great my phone number is so accurate http t co vi usr tvy,1
888, laurelcatherine that proves nothing ,1
1740,design driven companies like and have outperformed the s amp p by over the past years http t co ho yn gu f,1
181, apple wants make your commute much easier according new patent http t co fkmnhcmwju http t co wdqazqowt ,1
2275,leading android fansite recommends apple inc ipad air as best tablet in http t co ,1
2424,new macbook pro is amazing ,1
544, apple is already building its next massive business and no one seems have noticed http t co ff d nft,1
490, apple fix this ,0
284, why meet demand for the http t co dcke pva ,0
158, apple heads to trial over itunes update http t co bevwxgycvk,1
2634,rt block detected in ,0
3594,what are you talking about i back it up all the time http t co imgxmhwnj,0
428, apple its mb why do i need wifi to install it http t co gq pjqnrik,0
2543,rt insanely great news teams up with for iads programmatic launch http t co l flnubtba,1
739, buzz i sit home every friday night waiting for an invitation to join an dev team looks at his phone call me one day ,1
3555,update apple s healthkit seeing early adoptions aapl http t co ox q xlw ,1
910, maxscottslade yeah the trackpad is fine and working now but i had to damage one of the screw holdings to get the battery out,0
2473,one everyone is getting wrong when it comes http t co s wxz dcq http t co boch dbt q,1
277, verr cktes zum watch http t co w kyzdoute,1
1867,get rich quick as a criminal steal your client s products http t co kughhrehpf ,0
1700,currently on hold with in cupertino to try to set up a genius bar appointment in madrid ,0
1213,a surprising twist in the gt down to one plaintiff http t co hyu obfui ,1
3478,they gotta do something so my computer keeps freezing amp being dumb af after i upgraded to yosemite,0
869, jokigenki i think it s like can t look right now ,0
975, onerepublic us down and we keep trying forty thousand feet keep flying,1
686, apple you not even fucking apple company what fuck am i supposed do,0
1474,apple pivoting ipad education strategy to regain its footing aapl http t co ,1
3273,rt you need an ip portfolio to defend against big companies just look at court battles,1
2674,rt apple fibonacci levels intraday update aapl http t co jdrjlbym ,1
2360,my actual stock market positions are starting to show some profits long short at and ,1
1134, unlvgirl gotta switch to that android life ,0
1729,dear please fix your awdl issues https t co ray olfzyt,0
3449,the power of strong branding and store design in one photo http t co xsjk lv ei via article http t co edjj r ye,1
3261,rt my phones been charging for an hour but it keeps losing percentage get ur shit together ,0
3286,russia could ban inc iphone for lawmakers http t co wrai vkuz ,0
853, jakeflem yes it seems to fix it good the first time and then as time passes it deterioates until you have to change logic board,0
1941,here s why shares will reach analyst http t co kmu knqty ,1
2296,losing key could permanently lock apple id http t co niagairtib ,1
688, apple what the heck my phone screen looks like it lost a battle with a windstorm http t co hctgcijxbs,0
763, dannyrosin agreed ,1
100, aapl here s apple s next great business http t co ajx wqholx,1
3658,why don t we have an ape emoji on iphones or a middle finger it s almost step it up ,0
171, apple planning to spend million on its own auditorium at http t co eju q qklb http t co qyhvucusyp,1
1845,fuck u ,0
451, apple captures christmas at the house http t co ppbhlirhzz,1
3448,the power of strong branding and store design in one photo http t co cjobpvzezk via http t co hd p hjhw ,1
3275,rt does anyone know if theres a with a old fashioned clock face grandma needs a watch ,1
1921,hate so much my life,0
751, cleosbaby have nofear,1
2281,liberals should protest corporate greed and throw away all their nifty products ,0
769, delenanian eva chill ,1
3653,why does force people to use its vpn built in to ios off button doesn t work ffs like i want apple s nsa data collection service ,0
1579,ayyy my fourth phone charger this week broke today fuck you,0
828, hlpstaluke one of you stepped on my phone last night and its smashed and doesnt work ,0
2371,my fix for syncdefaultsd crashing every five minutes and losing preference settings keep system preferences open ,0
774, dpan yes hear that ,1
3569,was pleased to meet a fellow tweep at event a fellow practitioner it was great to meet irl ,1
3696,wow yall needa step it up music and snapchat at the same damn time you ,0
2469,on december th will be hosting hour of code programming workshops via http t co wd viexw ,1
2157,iphone plus captures sales in the u s aapl http t co afedrj epr,1
1215,a speaking of wearables new chargehr amp an iphone i want to eat latkes and run in place ,1
2492,perceiving misalignment facebook vs apple ello http t co vvjtxpcxwr ,1
1559,apple s siri now partnered with yahoo watch out google http t co ranvcqgx,1
1318,apple antitrust case hangs in the balance http t co cahbovhrje ,1
1159, zagkmerrick do edn have a ,1
1535,apple s best of the itunes store and win app honors http t co k wjwoud ,1
3699,wtf is my conputer doing i left it alone for five minutes and it does this help http t co ktmxorp w,0
699, what to expect in http t co w xzlzb,1
190, applepay partner valued at billion in funding http t co krh cjdmb,1
1044, simplyyours joh yeah,1
3501,tim cook shows off apple watch to chinese internet official discusses security issues aapl http t co ygmlj v d,1
3549,um where s the mango emoji ,1
3260,rt to mary sotos for green power leadership awards http t co qjx tc sv,1
405, apple iphone drop protection mechanism changes device angle in freefall http t co pg hg j xi via ,1
737, brwnskin beauti cause fuck ,0
2462,ok if you re going to sell each other s stuff provide each other with visibility into each other s order systems ,1
1311,apple http t co tcftmuaumy,1
130, aapl pm abe says apple to build technical center in japan http t co deavv aymk,1
795, fazenikan haha switch to ,0
1798,final for december http t co g nowucgog,1
649, apple where the ipod at doe ,1
1621,brooklyn finally getting an store expected to open in april http t co cezsxzl ss ,1
248, new falling on your laptop creates s latest innovation http t co mhsujo x ,1
2523,real tired of my charger breaking every month ,0
1780,excuse me why is there no bat signal emoji yet hmm ,0
3329,so on my iphone the health kit is no longer gathering data sigh ,0
977, onerepublic that looks amazing don t think anyone can say they recorded music on a plane haha,1
308, passion for engineering design at the heart of what he did for http t co dl l us t via ,1
1162, zagkmerrick wtf fix this,0
633, apple u need to get ur fucking shit together and let me txt while on youtube,0
961, onerepublic i bet you can get them at lol,1
2059,i love my phone so much thank you based god ,1
461, apple awards with distinguished school honor http t co ios rvit p ,1
2221,it s sunday night wanna watch online if you re an person then just head on over to https t co xtwfkiahzv,1
2679,rt apple fibonacci levels intraday update aapl http t co bdeaygr ig,1
3714,yes no don t me tomorrow just f ing me what the updates you want to install actually are ,0
172, apple planning to support resellers in focusing on ios http t co bdvy jqdla http t co eq mnvaq h,1
2584,rt apple s pt raised by jmp securities to outperform rating http t co xwaeiu vr aapl ,1
2013,http t co iywkaimss early adoption issues for http t co vhycivsixw,1
197, brooklyn is changing store is heading to bk ,1
521, apple http t co royowjfiw what a nice piece of crap you ve created great job pay more get less ,0
1153, windows how can compete with if they are so slow in giving most demanded data toggler shortcut ,1
622, apple thanks for xtra checkin at upper westside store but why are appointments running almost minutes late ,1
2573,rt fix yourself http t co l vsgfaqib,0
16, aapl mt can apple clear name in ebooks drama eddy cue says he d do it again but take better notes http t co xcyyyjtk ,1
1526,apple quarter q eps is use it at app donkey stocks https t co cbugrehzs,1
2688,rt apple iphone plus and imac ship times improve in time for holidays aapl http t co gcaz uikw,1
2324,mark defends free fires back at and http t co bcowolmizs,1
2034,i for india apple plans big push with stores aapl http t co qbic jgjog,1
1488,apple secretly deleted ipod owners songs downloaded from competing music services http t co glvcdikmwg ,0
1954,hey how can i take u s album off my phone ,0
1553,apple s pt raised by canaccord genuity to buy rating http t co nh vs lzoe aapl ,1
919, midnight its unfollow unlike how many can you unlike maybe or ,1
191, apple s international prices are higher us forbes http t co ij cjpckg ,1
2423,new ipad ad focuses on getting things done zdnet http t co vi ezctt w via amp ,1
3003,rt apple fades away in streaming video player market http t co jygticwlc,1
721, baseballbridget we couldn t even get a turkey for so they just don t care ,0
2411,myths vs http t co jh bms kgb http t co bfnkhl eyx,1
1550,apple s pt raised by bank of america to http t co pw l wmme aapl via ,1
950, onerepublic feet keep flying,1
2140,ios has fucked my battery life on my iphone starting to wonder if has any quality control anymore wish i was on ,0
1277,apple fibonacci levels intraday update aapl http t co cxx dfrhtm,1
305, patents drop proof mechanism breaks laws of physics with anti gravity http t co hrgrwfqfrd via ,1
1626,buy round lot on the open mt stock briefly dove today analysts not sure why http t co f e ejuje http t co qqvmwootv,0
3542,ubs increases apple s iphone sales and eps aapl http t co isnwq gle ,1
941, nosheenh oo this is my most favorite tweet,1
3077,rt had soo many iphones and never had a problem smashed screens in months with this u can suck my balls,0
1629,can drop audio only rendition requirement for ios apps users hate it no other stores want it other platforms don t know what it is,0
760, cyrus t virus same really,1
912, mazeonpace product line competes with itself iphone vs ipad who needs an ipad any longer ,1
1791,few spots left dec event w http t co xlmdi hf,1
3670,why isn t on http t co j ja mrpe,1
889, leiahemilyy really ,1
29, aapl best and coolest gadgets for the holiday season http t co ,1
2701,rt higher price are not helping apple s shares aapl http t co qtliixy ed,0
1515,apple fits to increase in earnings use q eps in ios app donkey stocks https t co pyu cutyrx,1
662, apple with the hour of code for http t co mcxrlxx kb via how about startups join and teach coding too ,1
709, apple s stock on a due to higher profit margin will continue http t co drwkzm txi http t co fmwlntgfbd,1
1796,final for december http t co wikbhbaru via hamzei ,1
575, apple new voice texting how about just hit dial instead whataconcept say no to ,0
3298,security firm have issued their not very cheery predictions and say pay to attract attacks http t co xbrtqsmdq,1
1349,apple details an elaborate navigation system in patent applications aapl http t co o kmfhrqlr,1
3622,who annoys me more or here i come for a galaxy s ,0
3580,we know that have a strong supply chain but what is it that makes it that way http t co pk rjyhcv,1
2545,rt apple macbook http t co f ihhonzhm http t co dwx q ss f,1
1047, smiiingbarakat yeah apple ur slackin,0
2172,is hedging its bets with another small http t co axn fjyczt,1
41, aapl after hours buzz apple bob evans farms amp more http t co phvzsfanso,1
3707,yay customer support was super nice and helpful and now my imessages is verified ,1
3537,type more words per minute with the new nintype keyboard for ios http t co uxtaek ex ,1
3405,the apps of year http t co rfe j c k,1
1858,fucking are memer faggots http t co w hbpxtrcj,0
2680,rt apple fibonacci levels intraday update aapl http t co fgn tdxhym,1
1251,and they ain t open till to help me so i can t even contact anyone for the shoot now u can suck multiple digs whack,0
3290,s o for this really great charger that works so well ,0
573, apple needs an icreep app,1
21, aapl alex gauna flips his apple bit sets street high target of http t co rshjd brhp,1
903, marcbulandr i could not agree more between and only great things will happen ,1
1594,bitch yassssss do yall know how long ive been waiting on this feature ,0
2103,i m learning all about apple ipad mini smart cover pink md ll a at http t co ,1
2465,ok utterly rediculous hrs to do a simple thing like syncing a ringtone itunes accessability is horific again ,0
2164,iphone shortages not helping as consumer sales plummet http t co uvre gm oh ,0
1810,first to own digital languages ip is new leader of the internet based on performance http t co j jfx occv,1
3053,rt x bonus airmiles right now ,1
1955,hey i did another software update and my ipad won t open any webpages any ideas here ,0
107, aapl how to get an unsubsidized smartphone for http t co frqhiwnfp ,1
825, hammerarcade makes me feel so sad why do u have be so ,0
3672,why isn t there a dreidel emoji ,1
808, ggheorghiu solution is offering an integration suite something like approach,1
2321,major news outlets seek permission to share steve jobs ipod lawsuit deposition video http t co k o qeevzl ,1
2691,rt apple named th most disruptive idea in the past years by businessweek aapl http t co ssgwey dvn,0
2374,my iphone s photos are no longer downloading automatically to my laptop when i sync it support is unhelpful any ideas ,0
851, jakeflem what year is it ,1
2110,i m really enjoying garageband ,1
363, sos omg would actually be a cute emoji ,1
1915,happy monday my camera on my fancy suddenly stopped working this weekend so instead i meme http t co ktimoxwesr,0
3726,you gotta be kidding me http t co xb qonho,0
1962,hey what the hell is this hahaha http t co r uspl dhn,0
1298,apple fibonacci levels intraday update aapl http t co th grx ,1
1157, youkantfindme kashka and clave own your mind,1
1701,cyndi lauper and cinna my big ask phone on center http t co xk u vzabe,1
842, jakeflem sorry that you re going through that hope you get this fix it was a real pain for us too but apple care cover it for free,1
999, pdbogen yeah it s not for everyone i sold my soul to a while ago for the link ,0
1248, an overarching conspiracy amp more accused of suppressing worker compensation http t co fgwyaxmasc,0
160, apple in the dock billion antitrust claim casts as conspirator http t co qzatitlr ,0
315, ceo visits http t co o dyvvi i by ,1
1770,enjoying the introductions at the launch event some amazing leaders in the room ,1
3351,steve wozniak calls legendary garage bit of a myth http t co wl kjtcrnr,1
527, apple i h everything about u,0
485, apple emojis en mac pleaaaase ,0
3619,where da fuck is this middle finger emoji so i can ignore my niggaz shit talk wit a single sign,0
1949,hey could you add an option in mail to next to the delete archive option after swiping an email ,1
1434,apple iphone plus and imac ship times improve in time for holidays aapl http t co gcaz uikw,1
1205,a developer perfectly summed up limitations of http t co i lq utqk http t co mq lzoxo a,1
1139, viticci when is removing photo upload and are covering refund for those who purchased based on features that are no more ,0
3675,why the fuck are all my messages being sent through my email and not phone number ,0
1359,apple in full support of naming alabama anti discrimination bill after cook http t co vrfbdhiolu ,1
2654,rt ceo cook gets a unique honor in his home state of alabama http t co ,1
1829,former apple inc supply manager sentenced prison fined million for corporate espionage aapl http t co snxcwuk pi,0
2206,it took just one month for the to become the king of http t co ige pxbsif via ,1
963, onerepublic i spy a pair of m s keep up the good work ,1
3529,translate your app success story from member go global with http t co sfeap ap ,1
2288,lol dying http t co ep hqb o h,1
1732,dear kindly fuck off with your m a format music listeners everywhere ,0
552, apple just changed the game ,1
940, northmantrader and there are many more short candidates like even is parabolic we are close i sense,1
1491,apple stock in upward after holiday quarter apple watch in aapl http t co zv dtpbyla,1
3316,sitting here waiting for more than half hour for my watching talk crap about their customers in the open nice ,0
2684,rt apple fibonacci levels last intraday update aapl http t co tlzxolfzg,1
446, apple an drop protection mechanism changes device http t co wvsaippsw ,1
1220,activation of airdrop on ios kills wifi what have you done ,0
821, granitewinger beware of anything that includes the word care ,0
187, apple market maker price forecast update http t co lb gspni j,1
3538,typo launches new iphone keyboard avoiding previous blackberry lawsuit ios blog http t co m nbvaax ,1
228, iphone plus new dawn for http t co ud odp od,1
1762,early movers anf lyv sne amp more are the stocks posting the largest moves before the bell http t co q sfeyr i,1
3283,rumor a tale of three rumor blogs aapl http t co h rfciwc,1
2370,my evolution on apple products http t co vxyphcuufr,1
548, apple is this how you train your employees to deal with issues hang up on the customer after fucking minutes of me waiting on hold,0
3279,rt god dammit fuck you ,0
1130, umo games ended up getting a new computer anyhow work computer here s how you can switch between vid cards http t co kuisepvc o,1
1002, prettynumbers for so many reasons https t co aehbi ivog,1
1402,apple inc s brand value jumped here are companies soaring even http t co uqusojxlm ,1
954, onerepublic ever consider computers for recording music ,1
3011,rt our watch prototype for the male couch potato http t co zkzvk bxaw,1
3323,so for the second time ate my edits bn ,0
728, bmoneyslamdog every time i type the word ya it capitalizes the a drives me nuts ,0
1683,confirmed bose speakers returning to stores after removal earlier this year http t co yxpyde tvq ,1
2112,im sick of your fucking shit ,0
1291,apple fibonacci levels intraday update aapl http t co pen ljajir,1
1177, st quarter next year,1
402, apple of future could save when you drop http t co cnl d nlsp,1
3422,the best guest behind apple s rapid stock price decline yesterday is algorithmic trading bn wiped off by automatic computer trades ,1
3708,yea let me just pay dollars for phone so it dies at fix your shit ,0
3657,why dont macs have an emoji keyboard u messed up,0
33, aapl inch iphone five apple won t make it http t co pzahefqwlo,1
3332,sold to you on both counts imho is going lower no bottom here also btw is going ,1
2479,our watch prototype for the male couch potato http t co zkzvk bxaw,1
2055,i just want to delete all my emails without turning ,0
966, onerepublic it s so crazy haha guys can you follow me please,1
3415,the biggest differences between and yep i ll stick with my mac http t co ,1
2544,rt hey you wanna use ifon siks jas follow and u will get it ,1
3729,you need to send me my iphone before i cancel ,0
2558,rt you should be able to forward a voicemail why isn t that a thing ,0
933, nevbackwoods exactly come on other phone companies get yo shit together,0
1279,apple fibonacci levels intraday update aapl http t co eye gtz g ,1
3468,there s a movie in my itunes match icloud that i can t remove actually it s a trailer very annoying ,0
1551,apple s pt raised by barclays to overweight rating http t co pxfaa fvrn aapl via ,1
3321,so cool stores will host free of code workshops on dec to promote computer science http t co hrohssvtk ,1
132, aapl see which guru fund managers hold apple http t co yt v ove ,1
1781,explore all the apple rumours for http t co dffeijbdze http t co m vrskwmlf,1
2455,oh how many feedback assistant messages do i have to send before you do anything about it ,0
574, apple new patent has its doing mid air tricks to avoid breaking http t co vwzwp ry e ,1
938, nigxnog bruh that means u type that a lot u fuckin punk bitch,0
1119, tim cook more issues now safari i want jobs quality control back http t co w jv di,0
381, angelicaxpham does it look like i fucking have days ,0
1121, tim cook someone anyone help ,1
1107, it s similar to an existing app called cardio guru interestingly maybe apple have noticed this ,1
816, google chrome books overtake devices in the education market http t co hostwl udg via ,0
1001, prettynumbers also steve jobs overrated https t co zu cga kp,0
1773,even more reason for to stop using benzene in its manufacturing http t co njdyqwfvae,1
230, iphone plus vs galaxy note snatched away the http t co wqqda fdvb,1
75, aapl apple s eddy cue about price fixing on e books he d it agai http t co msc uepzpn,1
597, apple recruiting luxury executives for iwatch i ll make it easy for them just get celebrities to wear them ,1
3479,they have no computer programming classes anywhere in la whats up with that ,0
502, apple get your shit together with group chats on ios ,0
26, aapl steve jobs to be star witness in ipod lawsuit steve jobs e steve jobs to be http t co wdmnluzjk,1
1908,had a job interview no idea how to be specialist in need teachers it s a issue http t co vus pbszhw ,1
1859,fucking faggots ,0
3284,rumor crescentgate gate aapl http t co iqoygnd g,1
2565,rt um where s the mango emoji ,1
3300,see which guru fund managers hold apple aapl http t co ndllvropdb,1
646, apple when are you going to fix the maps app navigation sucks face it and just switch to google maps ,0
1466,apple may be working on virtual reality but it s destroyed the evidence http t co tem udz if to me ,0
2333,massive mobile tech companies like are excited by wearables and investing million into http t co pnshe gz y,1
259, for and in http t co dc o hrknn,1
2515,proof does not use it s own products freaking mail shows up in search for file in the finder nut kicks http t co hu wqnkv,0
1970,hey my iphone was fully charged at am now it s on is that a common battery life ,0
3738,your osx built in had been provided by https t co ulmcdsecin,1
1613,bluetooth to bring direct internet connectivity and increased speed http t co w heglfbpi ,1
237, meet pick for best app of the http t co ous iygq k,1
2213,it s done well but my gb photo has possible come to an end after yrs battery won t charge http t co e ogdnlcmw,0
3322,so cool apple patents iphone drop protection mechanism changes device angle in freefall http t co yck doceq,1
2191,is apple most important stock on earth http t co gxozjyzdny ,1
3022,rt new phone sucks i can t make it stand up or on its side i can t wait for the iphone fix this you dingles,0
2134,insight from apple s cook http t co c f rfgx http t co deoerernmf,1
210, import objective c code into bridging header file sdk for swift http t co e i kka xx http t co dkooxiegry,1
2127,in the ipod antitrust case recent development plaintiffs may never have bought the ipods in the first place http t co ivbja yjgm,1
1373,apple inc fails app store appeal http t co b dcy bily ,0
3617,when you request custom gift wrap from don t do it http t co doena e nx,0
817, google are the world s most in demand employers ,1
3004,rt tired of my charger breaking every month ,0
2255,just received my just gotta wait for to approve their app now ,1
3690,woah woke up to emails of someone trying to verify that email for their device my email minus which makes no diff on gmail ,0
408, apple has ruined my wifi,0
1504,apple fades away in streaming video player market http t co jygticwlc,0
2408,my isnt working and blames and apple blames verizon someone fix its been hours of crap ,0
1128, fuck and ,0
70, aapl apple cash shareholders because it s out of ideas on how ,0
632, apple fades away in video player market http t co nmqcdkfnul,1
1124, i agree does not explicitly imply free ,1
3477, certainly do not have the design of or platform of not surprised tablets phones failed ,1
1989,how can my phone die while plugged in wtf ,0
40, aapl after years of losses apple is finally clawing back some market share http t co cvbw hdo x,1
1396,apple inc open stores in india http t co amx jhn yh ,1
735, britt bumgarner i mean it didn t auto correct so who is really at fault here ,0
1019, robconeybeer you need an ip portfolio to defend against big companies just look at court battles,1
2229,ive literally gone through iphone cords in a little over a year fix this you all suck,0
2445,non banks via can banks master disruptive innovation http t co lq pge vrf,1
3535,twdancecenter store in boylston st pm enjoy some meet the director amp ,1
274, ubs increases sales revenue and http t co dpnab cuy aapl ubs http t co pbq ijhand,1
86, aapl corporate earnings to contract short apple best of kass http t co vmgqr th,1
1593,big spending by consumers on cyber monday http t co pb wltjtzz,1
147, apple plans to launch version in dec http t co vqbcn qr http t co eaxugfqkqo via ,1
2499,photo yaaass shoutout to and to for being amazing http t co iobbn mq,1
332, rumoured to be launching a because http t co ureeaozpai,1
3652,why does constantly restart due to an error when left over night ,0
265, sketchy claims planning new http t co ptg cizbpn,1
1110, thehill furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov ,1
1866,get for an unbreakable investorplace http t co yglyzoqko ,1
2520,purchase a value simply by watching ads on check out here https t co fxdy pu bm,1
1475,apple planning new store in williamsburg brooklyn mac blog http t co xiw jkns z ,1
2302,loving my unit in my honda fit works great i just hope more apps make it to carplay come on ,1
2167,iphones are mad sensitive bro if it s too cold it dies even with a lot of battery left if it s too hot it shuts down as well smfh ,0
3461,then how the hell did i take this screenshot http t co nvfwwi jsm,0
92, aapl exchange iphone for passport and up to http t co diskjki ch,1
330, please ban school and yak apps from itunes app store are apps being used for anonymous bullying amp threats ,0
627, apple to host free workshops in stores http t co jqacir ury,1
3229,rt ceo visits http t co o dyvvi i by ,1
3421,the best apps for http t co intkubcir,1
217, iphone captures of us sales http t co pbm d z gw,1
1428,apple intraday comments updated premium users http t co g tedlcb z,1
824, griffinnw i love you ,1
368, ace kit uk is this deal still available ,1
3343,steve jobs defends apple from the grave in ipod lawsuit aapl http t co l rxew zkp,1
1969,hey how come i can t make genius bar appointments online anymore ,0
3559,using a tablet is hard and wierd i am use to using an ipod i am always making typing mistakes ,1
1142, wastwater make them poor to increase profits ,0
1098, actions are not helping their cause ,0
1062, stevewoz patent number patent http t co oixypxmslu,1
1118, tim cook fix my phone,0
1708,dashlane introduces changer allowing users to change multiple passwords with one click mac blog http t co gm gnnlzxb ,1
1505,apple wants make your commute much easier according new patent aapl http t co fd fcm hqb,1
2189,is apple most important stock on earth http t co xylq d jn http t co pwxjc o q ,1
635, apple u used to b cool what happened,0
1731,dear worst idea ever fix it http t co ,0
807, getlolo explain this please http t co g fznyucp ,1
2066,i swear to fuck i would rather cut and splice physical fucking tape than dick around with one more product with shit design ,0
2123,in case of accident stay safe with our free app http t co wyjvgqw qt,1
934, nheagy needs to stop auto arranging the home screen and allow users to position apps wherever they want ,0
1862,fun fun nights post birthday celebration of rfrancoben and http t co marhlxgv f,1
798, fazenikan restart it or wait till next apple update happens to me,1
676, apple yosimite detects faulty module but apple hardware does not http t co bwfpd q xa,0
719, azakfeverafc or you could learn to take pictures off the internet better,0
1018, pretty cute guys,1
1878,goodbye graphics problems you for such great customer service http t co xvb utxou ,1
536, apple ibooks picks operation paperclip as one of the nonfiction books of the year ,1
2600,rt is reportedly hiring fashion focused staff for its physical stores http t co zoonr u zv ,1
2358,my power cord caught on fire yet another non travelling power cord i have less than a year http t co exc wz cid,0
3661,why even apple is surprised by the enormous demand for the iphone aapl http t co rwgf vbyx,1
1714,dear can you please create a middle finger emoji asap sincerely all iphone users,0
321, has a market share of uk smartphone market driven by the iphone great that over a third of sales were made in apple stores ,1
3511,top all damn right http t co ,1
142, aapl update nov export growth tops expectations despite china wea http t co dwz unxqpt,1
3539,u s government attempts mary to get unlock http t co ezuscc zgi,1
1911,hahahaha australia loses fight to have store trademarked http t co misougznpn via ,1
3377,thank you ,1
1646,check out our founder views on amp benefits for female engineers https t co vhz rcnwru ,1
666, apple yall some hoes,0
2366,my computer sux fix it,0
2392,my old iphone exploded for no good reason what the heck http t co z sdrksbwt,0
400, apple purse shown below http t co hrswirph http t co pvjwmrn ee,1
348, in streaming media sales http t co c dr m ga,0
1728,dear i ve been an apple user for over years and can t remember a bug like this current safari on http t co alssd igw,0
685, apple your new ad is fucking racist against the ,0
964, onerepublic i wanna hug so much,1
1774,even the flagship store wasn t spared a visit from the protests http t co xeudg ran ,1
971, onerepublic ooh my god,1
1355,apple goes to trial over billion digital music lawsuit in california aapl http t co jaxlsipoqf,0
1312,apple http t co jk yetuar,1
3349,steve jobs clave en juicio contra http t co iceofgkm q http t co edir mahxn,1
1197, gorgeous with surprising designs and amazing visuals bgr http t co ukosyokmn,1
553, apple last time i checked i thought i bought a iphone not a slippery ass bar of soap disguised as one i didnt deserve ,0
1040, shelovesquez fuck i m get a note,0
